id;nombre;edad;genero;ciudad;comentario;categoria_del_problema;nivel_de_urgencia;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural
6096;jorge;28;f;cucuta;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 11 28;0;1;1
6097;laura;35;otro;cucuta;hay problemas con la recoleccion de basura;salud;urgente;2024 09 18;1;1;1
6098;juan;39;f;manizales;nan;medio ambiente;urgente;2024 09 20;1;0;0
6099;jorge;62;otro;pereira;faltan medicos en el centro de salud;educacion;no urgente;2024 08 18;1;1;1
6100;juan;32;f;cartagena;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2024 01 02;0;1;0
6101;jorge;43;otro;medellin;necesitamos mas acceso a internet en la zona;educacion;no urgente;2024 11 13;1;1;0
6102;pedro;33;otro;cucuta;necesitamos mas acceso a internet en la zona;seguridad;urgente;2024 02 23;0;0;1
6103;jorge;33;m;medellin;la contaminacion del rio esta aumentando;seguridad;urgente;2023 04 30;0;0;0
6104;ana;37;otro;pereira;las calles estan muy oscuras y peligrosas;educacion;no urgente;2023 05 23;0;0;0
6105;laura;17;f;bucaramanga;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 01 27;1;0;0
6106;carlos;42;otro;santa marta;queremos mas presencia policial;salud;urgente;2023 11 15;1;0;0
6107;juan;31;m;bogota;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 06 18;1;1;1
6108;ana;72;f;cucuta;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2024 03 07;1;0;0
6109;jorge;77;m;pereira;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2024 01 18;1;1;0
6110;jorge;32;f;medellin;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 09 15;0;1;0
6111;juan;43;m;bogota;queremos mas presencia policial;salud;urgente;2024 01 01;1;1;1
6112;juan;41;m;manizales;las basuras no se recogen a tiempo;salud;urgente;2023 03 23;1;1;1
6113;pedro;73;f;cali;las basuras no se recogen a tiempo;seguridad;no urgente;2024 01 29;1;0;1
6114;jorge;22;nan;medellin;falta agua potable en varias casas;medio ambiente;urgente;2023 11 26;1;1;0
6115;ana;25;m;pereira;nan;salud;urgente;2024 11 12;0;1;1
6116;juan;65;m;cali;las basuras no se recogen a tiempo;educacion;no urgente;2023 04 03;0;1;0
6117;jorge;55;m;santa marta;hay problemas con la recoleccion de basura;seguridad;urgente;2024 07 06;1;0;1
6118;sofia;35;f;cucuta;las calles estan muy oscuras y peligrosas;salud;no urgente;2024 03 08;0;0;1
6119;laura;73;otro;santa marta;queremos mas presencia policial;salud;urgente;2023 11 08;1;0;0
6120;ana;41;otro;santa marta;no hay suficientes escuelas publicas;seguridad;urgente;2024 10 26;1;1;1
6121;carlos;36;m;santa marta;nan;salud;urgente;2024 09 02;0;1;1
6122;sofia;;nan;santa marta;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2024 01 19;1;0;1
6123;laura;68;f;barranquilla;no hay suficientes escuelas publicas;seguridad;urgente;2024 01 05;1;1;1
6124;juan;27;otro;medellin;no hay suficientes escuelas publicas;seguridad;no urgente;2023 11 16;0;0;1
6125;pedro;59;m;barranquilla;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2023 03 27;0;1;1
6126;juan;64;otro;barranquilla;queremos mas presencia policial;seguridad;no urgente;2024 02 25;1;1;1
6127;valentina;23;m;cucuta;las basuras no se recogen a tiempo;seguridad;no urgente;2023 05 13;1;0;0
6128;camilo;;m;cali;falta agua potable en varias casas;salud;urgente;2024 01 21;0;1;0
6129;maria;;m;cartagena;no hay suficientes escuelas publicas;salud;no urgente;2024 11 24;1;1;0
6130;laura;42;f;santa marta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2024 08 27;0;1;0
6131;camilo;;otro;barranquilla;hay problemas con la recoleccion de basura;salud;no urgente;2023 06 21;0;1;1
6132;jorge;62;otro;cali;hay problemas con la recoleccion de basura;salud;urgente;2023 06 08;0;0;0
6133;laura;76;f;barranquilla;la contaminacion del rio esta aumentando;salud;no urgente;2023 10 12;1;1;0
6134;pedro;67;m;cartagena;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2024 01 30;0;1;0
6135;pedro;25;f;bucaramanga;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2024 01 25;1;1;0
6136;sofia;43;f;bucaramanga;las basuras no se recogen a tiempo;medio ambiente;urgente;2023 01 15;1;1;1
6137;laura;35;f;bucaramanga;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 03 23;1;1;0
6138;sofia;42;otro;barranquilla;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 05 29;1;0;1
6139;ana;53;otro;cali;faltan medicos en el centro de salud;educacion;no urgente;2024 03 10;0;0;0
6140;juan;54;f;cucuta;no hay suficientes escuelas publicas;seguridad;no urgente;2024 06 07;0;0;1
6141;sofia;35;m;cartagena;queremos mas presencia policial;salud;no urgente;2023 11 17;0;1;0
6142;sofia;42;otro;cartagena;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 11 14;0;1;1
6143;valentina;62;f;santa marta;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 11 07;0;0;0
6144;camilo;42;m;bucaramanga;nan;seguridad;urgente;2024 05 16;1;1;0
6145;valentina;;otro;cali;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 10 25;0;0;1
6146;laura;66;otro;cartagena;nan;seguridad;urgente;2023 05 31;1;0;0
6147;sofia;75;nan;cali;la contaminacion del rio esta aumentando;seguridad;urgente;2024 07 31;1;0;1
6148;ana;60;f;manizales;faltan medicos en el centro de salud;educacion;no urgente;2024 11 15;1;1;0
6149;ana;57;otro;manizales;necesitamos mas acceso a internet en la zona;educacion;no urgente;2023 08 26;0;0;1
6150;ana;63;f;cucuta;no hay suficientes escuelas publicas;seguridad;no urgente;2023 09 18;0;0;1
6151;carlos;80;otro;santa marta;faltan medicos en el centro de salud;seguridad;no urgente;2023 01 25;1;0;1
6152;jorge;;otro;cartagena;falta agua potable en varias casas;salud;no urgente;2023 05 31;0;1;1
6153;pedro;40;m;bogota;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 02 12;1;0;0
6154;camilo;51;f;bogota;no hay suficientes escuelas publicas;educacion;no urgente;2024 09 17;1;0;0
6155;carlos;77;otro;pereira;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 07 29;0;1;0
6156;ana;71;m;barranquilla;hay problemas con la recoleccion de basura;educacion;urgente;2024 05 09;1;1;0
6157;maria;60;otro;pereira;nan;seguridad;no urgente;2024 07 01;1;1;1
6158;maria;32;m;santa marta;no hay suficientes escuelas publicas;educacion;urgente;2024 02 23;1;1;1
6159;sofia;27;otro;barranquilla;nan;seguridad;urgente;2024 08 13;0;0;0
6160;camilo;75;m;medellin;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 05 25;0;0;0
6161;juan;50;otro;cartagena;nan;medio ambiente;urgente;2023 07 17;0;0;0
6162;maria;32;m;barranquilla;nan;medio ambiente;urgente;2024 03 07;1;1;0
6163;ana;35;f;manizales;necesitamos mas acceso a internet en la zona;educacion;no urgente;2024 10 14;1;0;0
6164;camilo;18;m;barranquilla;no hay suficientes escuelas publicas;seguridad;urgente;2023 04 24;1;0;1
6165;jorge;80;otro;manizales;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 07 31;0;1;1
6166;juan;;f;manizales;las basuras no se recogen a tiempo;seguridad;no urgente;2024 01 09;1;1;0
6167;pedro;66;f;medellin;hay problemas con la recoleccion de basura;salud;urgente;2023 05 25;1;0;1
6168;laura;24;otro;manizales;las basuras no se recogen a tiempo;educacion;no urgente;2023 08 27;1;0;0
6169;carlos;43;f;santa marta;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 09 10;0;0;0
6170;valentina;70;otro;barranquilla;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2023 01 11;1;0;1
6171;carlos;;otro;cartagena;queremos mas presencia policial;educacion;urgente;2024 04 14;0;1;0
6172;jorge;74;m;medellin;hay problemas con la recoleccion de basura;medio ambiente;urgente;2024 10 03;1;1;0
6173;jorge;27;m;pereira;queremos mas presencia policial;educacion;no urgente;2023 03 10;0;0;0
6174;ana;77;f;pereira;faltan medicos en el centro de salud;educacion;no urgente;2024 09 15;1;0;1
6175;valentina;21;m;santa marta;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 11 13;0;1;0
6176;valentina;50;m;santa marta;falta agua potable en varias casas;seguridad;no urgente;2023 08 05;1;1;0
6177;juan;76;otro;medellin;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 07 22;0;0;1
6178;maria;23;f;manizales;falta agua potable en varias casas;educacion;urgente;2023 12 27;0;1;1
6179;carlos;73;f;pereira;queremos mas presencia policial;seguridad;no urgente;2023 12 27;1;1;1
6180;maria;65;f;medellin;no hay suficientes escuelas publicas;salud;urgente;2024 04 26;1;0;1
6181;jorge;69;otro;santa marta;queremos mas presencia policial;seguridad;urgente;2024 01 30;1;1;1
6182;valentina;15;m;cali;queremos mas presencia policial;seguridad;no urgente;2024 03 09;0;1;0
6183;juan;37;otro;manizales;faltan medicos en el centro de salud;medio ambiente;urgente;2024 04 10;0;0;0
6184;carlos;22;otro;pereira;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2024 05 16;1;1;1
6185;laura;31;f;santa marta;falta agua potable en varias casas;medio ambiente;urgente;2024 02 23;1;0;0
6186;juan;34;f;cucuta;las basuras no se recogen a tiempo;salud;urgente;2024 03 13;0;0;0
6187;valentina;53;f;cucuta;falta agua potable en varias casas;salud;no urgente;2024 08 26;0;1;0
6188;valentina;21;f;santa marta;faltan medicos en el centro de salud;salud;urgente;2024 03 02;0;0;0
6189;laura;48;otro;bucaramanga;nan;medio ambiente;urgente;2023 08 18;0;1;0
6190;carlos;76;m;bogota;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 11 29;1;0;1
6191;jorge;79;m;medellin;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 10 25;0;0;0
6192;ana;27;otro;cartagena;nan;educacion;no urgente;2023 11 21;1;0;1
6193;laura;17;m;pereira;faltan medicos en el centro de salud;medio ambiente;urgente;2023 02 18;1;0;1
6194;carlos;27;f;manizales;las basuras no se recogen a tiempo;medio ambiente;urgente;2023 05 17;0;1;1
6195;camilo;49;f;medellin;necesitamos mas acceso a internet en la zona;salud;urgente;2024 05 08;1;0;1
6196;maria;29;f;barranquilla;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 08 01;1;0;0
6197;sofia;26;f;pereira;nan;medio ambiente;urgente;2024 05 13;0;0;1
6198;maria;;otro;santa marta;necesitamos mas acceso a internet en la zona;educacion;urgente;2024 05 19;1;1;0
6199;maria;51;f;cucuta;nan;medio ambiente;urgente;2024 08 24;0;1;1
6200;maria;63;nan;manizales;las basuras no se recogen a tiempo;salud;urgente;2024 01 18;1;0;0
6201;laura;48;nan;cali;no hay suficientes escuelas publicas;salud;no urgente;2023 07 31;0;0;1
6202;laura;69;f;santa marta;la contaminacion del rio esta aumentando;salud;no urgente;2023 09 15;0;1;0
6203;valentina;31;m;pereira;hay problemas con la recoleccion de basura;seguridad;urgente;2023 01 05;0;0;0
6204;camilo;24;nan;bogota;las basuras no se recogen a tiempo;seguridad;no urgente;2024 06 29;0;1;0
6205;maria;38;otro;santa marta;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 06 08;0;1;0
6206;jorge;;m;cali;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 09 12;1;0;0
6207;laura;27;f;medellin;necesitamos mas acceso a internet en la zona;seguridad;urgente;2024 02 21;1;0;0
6208;jorge;18;f;cali;queremos mas presencia policial;medio ambiente;no urgente;2023 10 15;0;1;0
6209;ana;54;f;bucaramanga;hay problemas con la recoleccion de basura;seguridad;urgente;2023 02 17;0;0;1
6210;pedro;71;m;cucuta;no hay suficientes escuelas publicas;medio ambiente;no urgente;2023 07 25;1;0;1
6211;juan;67;otro;santa marta;las calles estan muy oscuras y peligrosas;medio ambiente;urgente;2024 02 17;0;0;1
6212;jorge;49;otro;barranquilla;no hay suficientes escuelas publicas;salud;no urgente;2024 07 29;1;1;1
6213;carlos;20;f;santa marta;queremos mas presencia policial;medio ambiente;urgente;2023 11 20;0;0;1
6214;carlos;47;otro;santa marta;necesitamos mas acceso a internet en la zona;salud;no urgente;2024 09 29;0;0;0
6215;pedro;65;otro;bogota;no hay suficientes escuelas publicas;salud;urgente;2024 08 11;0;1;0
6216;sofia;59;m;cartagena;las basuras no se recogen a tiempo;medio ambiente;urgente;2023 03 07;1;0;0
6217;carlos;66;f;santa marta;no hay suficientes escuelas publicas;educacion;no urgente;2024 05 19;1;0;0
6218;juan;34;f;barranquilla;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 10 25;0;1;0
6219;maria;35;otro;manizales;queremos mas presencia policial;salud;urgente;2024 11 29;1;1;0
6220;carlos;23;f;bogota;falta agua potable en varias casas;seguridad;no urgente;2023 11 10;1;0;0
6221;valentina;46;m;cali;nan;educacion;no urgente;2023 08 02;0;1;1
6222;valentina;51;otro;cali;nan;educacion;urgente;2024 07 02;1;1;1
6223;sofia;30;m;bucaramanga;la contaminacion del rio esta aumentando;seguridad;urgente;2024 07 28;0;1;0
6224;juan;32;f;santa marta;queremos mas presencia policial;educacion;urgente;2023 03 10;1;1;0
6225;ana;45;m;barranquilla;hay problemas con la recoleccion de basura;salud;no urgente;2023 03 06;0;0;0
6226;maria;30;otro;cucuta;hay problemas con la recoleccion de basura;medio ambiente;urgente;2024 08 05;0;0;1
6227;carlos;78;f;bucaramanga;queremos mas presencia policial;salud;no urgente;2023 07 13;0;0;1
6228;juan;37;m;manizales;falta agua potable en varias casas;salud;urgente;2023 05 23;0;0;1
6229;camilo;71;m;cucuta;queremos mas presencia policial;seguridad;no urgente;2024 05 30;1;1;1
6230;maria;;f;cucuta;no hay suficientes escuelas publicas;salud;no urgente;2023 01 15;0;0;1
6231;pedro;59;m;cartagena;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 04 30;1;1;1
6232;valentina;;otro;bogota;las basuras no se recogen a tiempo;salud;no urgente;2023 12 13;1;0;0
6233;jorge;;f;bucaramanga;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2024 01 19;0;1;1
6234;camilo;33;otro;manizales;la contaminacion del rio esta aumentando;salud;no urgente;2024 04 17;1;1;1
6235;juan;58;otro;bucaramanga;faltan medicos en el centro de salud;salud;no urgente;2023 08 19;1;1;0
6236;maria;58;m;manizales;la contaminacion del rio esta aumentando;salud;urgente;2023 10 07;0;1;0
6237;pedro;19;m;manizales;hay problemas con la recoleccion de basura;salud;urgente;2024 09 08;0;0;0
6238;carlos;49;otro;manizales;las basuras no se recogen a tiempo;educacion;urgente;2023 07 20;0;0;0
6239;pedro;37;nan;pereira;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 07 15;1;0;0
6240;camilo;45;m;bucaramanga;no tenemos centros culturales ni bibliotecas;salud;no urgente;2024 06 04;1;0;1
6241;ana;62;otro;santa marta;las basuras no se recogen a tiempo;educacion;no urgente;2024 04 20;0;0;1
6242;valentina;30;f;medellin;las calles estan muy oscuras y peligrosas;salud;urgente;2024 09 11;1;0;1
6243;ana;52;f;cali;queremos mas presencia policial;seguridad;no urgente;2023 12 08;0;1;0
6244;jorge;46;f;bucaramanga;falta agua potable en varias casas;educacion;urgente;2024 02 06;1;0;0
6245;maria;45;otro;manizales;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 07 10;1;1;1
6246;laura;33;m;cucuta;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 06 07;0;0;1
6247;carlos;16;f;santa marta;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 04 04;1;0;1
6248;ana;21;m;cartagena;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 01 01;0;1;1
6249;camilo;64;f;medellin;queremos mas presencia policial;salud;no urgente;2024 06 30;1;1;0
6250;laura;69;otro;santa marta;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 09 28;0;0;0
6251;camilo;53;otro;santa marta;falta agua potable en varias casas;salud;urgente;2023 08 09;0;1;1
6252;carlos;59;m;manizales;las calles estan muy oscuras y peligrosas;salud;urgente;2024 05 19;1;0;1
6253;maria;75;m;barranquilla;no tenemos centros culturales ni bibliotecas;salud;no urgente;2024 07 28;0;0;0
6254;laura;43;m;cucuta;las basuras no se recogen a tiempo;medio ambiente;urgente;2024 05 25;0;0;0
6255;camilo;17;f;cartagena;nan;educacion;no urgente;2023 12 15;1;1;0
6256;juan;80;otro;bogota;falta agua potable en varias casas;educacion;urgente;2024 05 16;1;1;0
6257;sofia;;otro;bucaramanga;falta agua potable en varias casas;educacion;urgente;2024 06 27;1;1;1
6258;sofia;48;f;medellin;falta agua potable en varias casas;educacion;urgente;2024 08 03;1;1;1
6259;valentina;78;f;pereira;las calles estan muy oscuras y peligrosas;medio ambiente;no urgente;2024 10 10;1;1;0
6260;valentina;69;f;manizales;falta agua potable en varias casas;medio ambiente;urgente;2023 10 23;1;0;1
6261;juan;74;otro;manizales;hay problemas con la recoleccion de basura;educacion;urgente;2023 08 10;1;1;1
6262;valentina;63;f;bucaramanga;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 01 25;1;0;1
6263;pedro;57;otro;bucaramanga;no tenemos centros culturales ni bibliotecas;salud;no urgente;2024 12 01;0;0;1
6264;sofia;18;m;bucaramanga;necesitamos mas acceso a internet en la zona;salud;no urgente;2024 07 18;1;1;0
6265;juan;39;f;cucuta;no hay suficientes escuelas publicas;educacion;urgente;2023 01 20;1;1;0
6266;pedro;53;m;manizales;las calles estan muy oscuras y peligrosas;salud;no urgente;2024 03 11;1;0;1
6267;valentina;69;otro;bogota;necesitamos mas acceso a internet en la zona;educacion;urgente;2024 05 13;0;0;1
6268;sofia;50;f;manizales;queremos mas presencia policial;educacion;no urgente;2024 10 09;0;1;1
6269;sofia;73;m;cucuta;no hay suficientes escuelas publicas;seguridad;urgente;2024 08 19;1;0;0
6270;juan;38;f;cartagena;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 02 26;0;1;1
6271;carlos;66;f;bogota;queremos mas presencia policial;salud;no urgente;2024 11 27;1;0;1
6272;valentina;53;m;pereira;faltan medicos en el centro de salud;salud;urgente;2023 11 20;1;0;0
6273;pedro;18;otro;manizales;no hay suficientes escuelas publicas;seguridad;urgente;2023 10 04;1;1;0
6274;camilo;58;m;bucaramanga;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 06 10;0;1;1
6275;carlos;72;f;cucuta;las basuras no se recogen a tiempo;medio ambiente;urgente;2024 01 22;0;0;0
6276;maria;30;m;cartagena;faltan medicos en el centro de salud;medio ambiente;urgente;2023 04 17;0;1;0
6277;camilo;77;f;medellin;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 12 31;0;0;0
6278;ana;24;m;cartagena;falta agua potable en varias casas;medio ambiente;urgente;2023 03 13;0;1;0
6279;valentina;40;m;barranquilla;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 08 06;0;1;1
6280;valentina;41;m;pereira;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 03 15;1;0;1
6281;juan;37;f;santa marta;faltan medicos en el centro de salud;educacion;urgente;2024 07 01;0;0;1
6282;camilo;40;f;cartagena;hay problemas con la recoleccion de basura;seguridad;urgente;2023 05 01;1;1;0
6283;maria;37;otro;cali;hay problemas con la recoleccion de basura;seguridad;urgente;2024 01 14;0;0;0
6284;camilo;50;f;barranquilla;no hay suficientes escuelas publicas;seguridad;no urgente;2024 03 21;1;0;1
6285;maria;40;f;medellin;no tenemos centros culturales ni bibliotecas;salud;urgente;2024 08 23;1;1;0
6286;carlos;16;f;bogota;falta agua potable en varias casas;medio ambiente;urgente;2023 02 12;0;1;1
6287;carlos;25;otro;barranquilla;queremos mas presencia policial;medio ambiente;urgente;2024 10 02;0;1;1
6288;valentina;44;f;medellin;queremos mas presencia policial;salud;urgente;2023 04 08;1;0;0
6289;jorge;73;otro;santa marta;las calles estan muy oscuras y peligrosas;educacion;no urgente;2024 04 13;1;0;1
6290;pedro;44;f;cartagena;no hay suficientes escuelas publicas;seguridad;urgente;2024 04 16;1;0;0
6291;valentina;;otro;cartagena;queremos mas presencia policial;seguridad;no urgente;2023 04 03;1;1;1
6292;sofia;37;m;cartagena;las calles estan muy oscuras y peligrosas;salud;urgente;2023 03 17;1;0;1
6293;ana;70;m;pereira;las basuras no se recogen a tiempo;seguridad;no urgente;2023 02 22;0;0;0
6294;pedro;59;otro;santa marta;no hay suficientes escuelas publicas;educacion;urgente;2023 10 25;1;1;1
6295;ana;;otro;pereira;faltan medicos en el centro de salud;salud;no urgente;2023 07 07;1;0;1
6296;jorge;16;otro;cartagena;no hay suficientes escuelas publicas;educacion;urgente;2023 11 10;1;1;1
6297;juan;22;m;manizales;falta agua potable en varias casas;salud;no urgente;2023 09 18;0;1;0
6298;carlos;31;otro;barranquilla;nan;seguridad;no urgente;2024 09 11;0;1;0
6299;juan;66;m;santa marta;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2024 08 23;1;1;0
6300;camilo;53;f;cucuta;las basuras no se recogen a tiempo;seguridad;urgente;2023 10 11;1;1;0
6301;laura;47;m;cucuta;falta agua potable en varias casas;educacion;no urgente;2023 05 13;1;0;1
6302;laura;21;otro;manizales;queremos mas presencia policial;salud;no urgente;2023 08 26;0;0;0
6303;laura;57;f;cucuta;hay problemas con la recoleccion de basura;educacion;no urgente;2023 11 01;0;0;1
6304;juan;34;m;manizales;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 04 25;0;0;1
6305;valentina;48;m;santa marta;hay problemas con la recoleccion de basura;seguridad;no urgente;2024 08 26;0;0;0
6306;maria;44;f;cartagena;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 06 05;1;0;1
6307;carlos;32;otro;barranquilla;la contaminacion del rio esta aumentando;salud;urgente;2024 04 14;0;0;1
6308;carlos;23;m;bogota;faltan medicos en el centro de salud;salud;no urgente;2024 02 27;1;1;0
6309;juan;27;m;manizales;queremos mas presencia policial;salud;urgente;2024 11 24;0;1;1
6310;carlos;24;m;cartagena;faltan medicos en el centro de salud;salud;no urgente;2024 09 23;0;1;1
6311;jorge;61;f;bucaramanga;necesitamos mas acceso a internet en la zona;salud;urgente;2024 06 04;0;0;0
6312;valentina;76;f;cartagena;queremos mas presencia policial;seguridad;urgente;2024 10 08;0;0;0
6313;sofia;;otro;pereira;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 01 28;1;0;1
6314;jorge;76;f;manizales;falta agua potable en varias casas;salud;no urgente;2024 02 29;0;0;1
6315;jorge;21;f;medellin;las basuras no se recogen a tiempo;seguridad;urgente;2023 05 07;1;0;1
6316;pedro;77;otro;cartagena;queremos mas presencia policial;medio ambiente;no urgente;2024 05 06;0;1;0
6317;juan;75;m;cucuta;falta agua potable en varias casas;seguridad;no urgente;2023 04 01;1;1;0
6318;laura;56;f;bucaramanga;necesitamos mas acceso a internet en la zona;salud;no urgente;2024 10 13;0;1;0
6319;laura;43;m;cali;las basuras no se recogen a tiempo;seguridad;urgente;2023 02 22;1;0;1
6320;valentina;23;otro;bucaramanga;queremos mas presencia policial;educacion;urgente;2023 03 23;1;0;1
6321;pedro;24;f;santa marta;la contaminacion del rio esta aumentando;educacion;no urgente;2023 10 07;1;0;0
6322;ana;27;m;cali;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2023 07 15;0;1;1
6323;valentina;28;f;cali;las calles estan muy oscuras y peligrosas;educacion;urgente;2024 02 15;0;0;1
6324;jorge;;f;bucaramanga;hay problemas con la recoleccion de basura;educacion;urgente;2024 04 28;1;0;1
6325;pedro;58;f;manizales;faltan medicos en el centro de salud;salud;urgente;2023 03 08;0;1;1
6326;ana;67;otro;bucaramanga;las calles estan muy oscuras y peligrosas;salud;no urgente;2024 05 07;1;1;0
6327;ana;63;m;cucuta;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 06 08;0;1;1
6328;carlos;45;otro;pereira;necesitamos mas acceso a internet en la zona;educacion;urgente;2023 07 23;0;1;1
6329;ana;23;otro;pereira;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2023 05 30;0;1;1
6330;maria;23;otro;bogota;hay problemas con la recoleccion de basura;medio ambiente;urgente;2024 09 07;0;1;1
6331;pedro;42;f;bucaramanga;las calles estan muy oscuras y peligrosas;salud;urgente;2024 03 08;0;0;0
6332;laura;;m;barranquilla;las calles estan muy oscuras y peligrosas;educacion;urgente;2023 12 23;1;1;0
6333;pedro;50;otro;bucaramanga;faltan medicos en el centro de salud;educacion;urgente;2024 11 23;1;1;1
6334;valentina;33;m;medellin;falta agua potable en varias casas;seguridad;urgente;2023 12 11;1;1;0
6335;maria;43;f;cucuta;falta agua potable en varias casas;salud;urgente;2024 02 05;0;1;0
6336;maria;68;f;bogota;necesitamos mas acceso a internet en la zona;educacion;urgente;2023 08 30;1;0;0
6337;laura;44;otro;cartagena;nan;educacion;no urgente;2023 01 04;1;1;0
6338;valentina;43;otro;bogota;queremos mas presencia policial;seguridad;no urgente;2023 08 03;0;1;1
6339;pedro;38;otro;cali;las basuras no se recogen a tiempo;seguridad;no urgente;2024 10 04;0;1;0
6340;carlos;38;otro;bogota;necesitamos mas acceso a internet en la zona;seguridad;urgente;2023 09 10;1;0;0
6341;laura;16;f;manizales;falta agua potable en varias casas;educacion;urgente;2024 09 01;1;0;0
6342;juan;34;m;bogota;falta agua potable en varias casas;educacion;no urgente;2023 01 19;1;0;0
6343;juan;75;f;manizales;nan;medio ambiente;urgente;2023 06 29;0;0;1
6344;valentina;66;m;medellin;faltan medicos en el centro de salud;educacion;no urgente;2024 07 18;0;0;0
6345;ana;64;m;cartagena;no hay suficientes escuelas publicas;salud;urgente;2024 08 13;1;1;1
6346;valentina;;f;cali;faltan medicos en el centro de salud;salud;urgente;2023 09 22;1;0;1
6347;ana;45;f;pereira;nan;educacion;no urgente;2023 10 24;1;0;0
6348;laura;55;otro;cartagena;falta agua potable en varias casas;educacion;urgente;2024 01 19;0;1;1
6349;camilo;59;f;bogota;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2023 09 12;0;1;0
6350;camilo;78;m;bucaramanga;las basuras no se recogen a tiempo;salud;no urgente;2023 06 26;1;0;0
6351;pedro;79;m;bogota;no hay suficientes escuelas publicas;medio ambiente;urgente;2024 01 06;1;1;1
6352;laura;57;m;barranquilla;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 07 21;0;0;1
6353;sofia;67;otro;manizales;queremos mas presencia policial;educacion;urgente;2024 01 13;0;1;1
6354;laura;60;m;bogota;faltan medicos en el centro de salud;medio ambiente;urgente;2024 03 26;0;1;1
6355;camilo;24;nan;cucuta;no tenemos centros culturales ni bibliotecas;salud;no urgente;2023 12 03;0;0;0
6356;camilo;73;m;barranquilla;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 08 14;0;0;1
6357;ana;39;f;pereira;las basuras no se recogen a tiempo;medio ambiente;urgente;2023 03 08;0;0;1
6358;jorge;55;m;pereira;falta agua potable en varias casas;medio ambiente;no urgente;2023 02 07;1;1;1
6359;sofia;21;m;cali;la contaminacion del rio esta aumentando;educacion;urgente;2024 03 26;1;1;0
6360;laura;17;otro;medellin;nan;medio ambiente;urgente;2024 05 08;1;0;1
6361;sofia;16;f;manizales;falta agua potable en varias casas;salud;urgente;2023 12 16;1;1;0
6362;laura;42;otro;barranquilla;no tenemos centros culturales ni bibliotecas;medio ambiente;urgente;2024 02 18;1;1;0
